me_gusta,Marca,Categoria,Subcategoria
1,Don Vicente,Almacen,Pastas Secas
0,Lucchetti,Almacen,Pastas Secas
1,Arcor,Almacen,Conservas
0,Cocinero,Almacen,Aderezos
1,Ruca Malen,Bebidas,Vinos
1,Uvita,Bebidas,Vinos
1,Frizze,Bebidas,Espumantes
0,Matarazzo,Almacen,Pastas Secas
